k,P(X=k),P(X≤k)
0,0.19360894990961505,0.19360894990961505
1,0.3318439409911833,0.525452890900798
2,0.26958037979867033,0.7950332706994685
3,0.13801328234660976,0.9330465530460783
4,0.049939016638575896,0.9829855696846541
5,0.01357585511646789,0.996561424801122
6,0.0028769328457783133,0.9994383576469004
7,0.00048666012037920945,0.9999250177672795
8,6.674010717558643e-05,0.9999917578744552
9,7.4933041223663505e-06,0.9999992511785775
10,6.925512521341684e-07,0.9999999437298296
11,5.2781466952175396e-08,0.9999999965112966
12,3.3113072491037537e-09,0.9999999998226038
13,1.7007308662618262e-10,0.9999999999926769
14,7.0815115911485696e-12,0.9999999999997584
15,2.3536148395645713e-13,0.9999999999999938
16,6.0976440069821095e-15,0.9999999999999999
17,1.1867934912992767e-16,1.0
18,1.6324858994364903e-18,1.0
19,1.415054007150302e-20,1.0
20,5.813129240351588e-23,1.0
