Z,Φ(Z) = P(Z ≤ z),P(Z > z),X correspondiente (miles USD)
-3.0,0.001349898031630093,0.9986501019683699,-92594836.10556193
-2.5,0.006209665325776132,0.9937903346742238,-76159770.53993335
-2.0,0.0227501319481792,0.9772498680518208,-59724704.97430477
-1.5,0.06680720126885806,0.9331927987311419,-43289639.40867619
-1.0,0.15865525393145707,0.8413447460685429,-26854573.84304761
-0.5,0.3085375387259869,0.6914624612740131,-10419508.277419034
0.0,0.5,0.5,6015557.288209545
0.5,0.6914624612740131,0.3085375387259869,22450622.853838123
1.0,0.8413447460685429,0.15865525393145707,38885688.419466704
1.5,0.9331927987311419,0.06680720126885809,55320753.98509528
2.0,0.9772498680518208,0.02275013194817921,71755819.55072387
2.5,0.9937903346742238,0.006209665325776159,88190885.11635244
3.0,0.9986501019683699,0.0013498980316301035,104625950.68198101
